,en,es,fr,zh,de,ja,it,nl,ru,pt,ko,el,ar,he,th,ln,ta,hi,tl,sv,no,tr,fi,fa,da,in,cs,hu,be,uk,am,sw,bg,hr,eo,pl,ro,lesson,lexid
0,a bee,una abeja,une abeille,蜜蜂,eine Biene,ハチ (Hachi),un'ape,een bij,пчела (pchela),uma abelha,벌,μια μέλισσα,النحلة,דבורה,ผึ้ง,apis,தேனீ,मधुमक्खी,isang bubuyog,ett bi,en bie,arı,mehiläinen,زنبور,en bi,seekor lebah,včela,méh,пчала,бджола (bdzhola),ንብ (ne-be),nyuki,пчела,pčela,abelo,Pszczoła,o albină,1010,620
1,a butterfly,una mariposa,un papillon,蝴蝶,ein Schmetterling,蝶 (Chou),una farfalla,een vlinder,бабочка (babochka),uma borboleta,나비,μια πεταλούδα,الفراشة,פרפר,ผีเสื้อ,papilio,பட்டாம்பூச்சி,तितली,isang paruparo,en fjäril,en sommerfugl,kelebek,perhonen,پروانه,en sommerfugl,seekor kupu-kupu,motýl,lepke,матылёк,метелик (metelyk),ቢራቢሮ (bi-raa-bi-ro),kipepeo,пеперуда,leptir,papilio,Motyl,un fluture,1010,350
2,a calf,un ternero,un veau,小牛,ein Kalb,子牛 (Koushi),un vitello,een kalf,теленок (telenok),um bezerro,송아지,ένας μόσχος,العجل,עגל,ลูกวัว,vitulus,கன்று,बछड़ा,isang guya,en kalv,en kalv,buzağı,vasikka,گوساله,en kalv,seekor anak sapi,tele,borjú,цяля,теля (telja),ጥጃ (the-jaa),ndama,теле,tele,bovido,Cielę,un vițel,1010,200
3,a camel,un camello,un chameau,駱駝,ein Kamel,ラクダ (Rakuda),un cammello,een kameel,верблюд (verbljud),um camelo,낙타,μια καμήλα,الجَمل,גמל,อูฐ,camelus,ஒட்டகம்,ऊँट,isang kamelyo,en kamel,en kamel,deve,kameli,شتر,en kamel,seekor unta,velbloud,teve,вярблюд,верблюд (verbljud),ግመል (ge-ma-le),ngamia,камила,deva,kamelo,Wielbłąd,o camilă,1010,490
4,a carnivore,un carnívoro,un carnivore,食肉動物,ein Raubtier,肉食動物 (NikushokuDoubutsu),un carnivoro,een carnivoor,плотоядный (plotojadnyj),um carnívoro,육식동물,ένα σαρκοφάγο,آكل اللحم,טורף,สัตว์กินเนื้อ,carnivorum animal,மாமிச உண்ணி,मांसाहारी पशु,karniboro,ett rovdjur,et rovdyr,etobur,lihansyöjä,گوشتخوار,en kødæder,seekor karnivora,masožravec,húsevő,драпежны,м'ясоїдний (m`jasoyidnyj),ስጋ የሚበላ (se-gaa ya-mi-ba-laa),mla nyama,месоядно животно,mesojed,viandmanĝanto,Mięsożerca,un carnivor,1010,360
5,a cat,un gato,un chat,貓,eine Katze,猫 (Neko),un gatto,een kat,кошка (koshka),um gato,고양이,μια γάτα,القطّة,חתול,แมว,feles,பூனை,बिल्ली,isang pusa,en katt,en katt,kedi,kissa,گربه,en kat,seekor kucing,kočka,macska,кот,кішка (kіshka),ድመት (de-ma-te),paka,котка,mačka,kato,Kot,o pisică,1010,120
6,a crocodile,un cocodrilo,un crocodile,鱷魚,ein Krokodil,わに (Wani),un coccodrillo,een krokodil,крокодил (krokodil),um crocodilo,악어,ένας κροκόδειλος,التمساح,תנין,จระเข้,crocodillus,முதலை,मगरमच्छ,isang buwaya,en krokodil,en krokodille,timsah,krokotiili,تمساح,en krokodille,seekor buaya,krokodýl,krokodil,кракадзіл,крокодил (krokodyl),አዞ (ʾa-zo),mamba,крокодил,krokodil,krokodilo,Krokodyl,un crocodil,1010,480
7,a dog,un perro,un chien,狗,ein Hund,犬 (Inu),un cane,een hond,собака (sobaka),um cachorro,개,ένας σκύλος,الكلب,כלב,สุนัข,canis,நாய்,कुत्ता,isang aso,en hund,en hund,köpek,koira,سگ,en hund,seekor anjing,pes,kutya,сабака,собака (sobaka),ውሻ (we-shaa),mbwa,куче,pas,hundo,Pies,un câine,1010,130
8,a dolphin,un delfín,un dauphin,海豚,ein Delfin,イルカ (Iruka),un delfino,een dolfijn,дельфин (del'fin),um golfinho,돌고래,ένα δελφίνι,الدولفين,דולפין,ปลาโลมา,delphin,டால்பின்,डौलफिन,isang lumba-lumba,en delfin,en delfin,yunus balığı,delfiini,دلفین,en delfin,seekor lumba-lumba,delfín,delfin,дэльфін,дельфін (del'fіn),ዶልፊን (do-le-fi-ne),pomboo,делфин,delfin,delfeno,Delfin,un delfin,1010,510
9,a duck,un pato,un canard,鴨,eine Ente,家鴨 (Ahiru),una papera,een eend,утка (utka),um pato,오리,μια πάπια,البطّة,ברוז,เป็ด,anas,வாத்து,बत्तख,isang bibe,en anka,en and,ördek,ankka,اردک,en and,seekor bebek,kachna,kacsa,качка,качка (kachka),ዳክዬ (daa-ke-yee),bata,патица,patka,anaso,Kaczka,o rață,1010,170
